'Scienze biologiche','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-biologiche','Laurea triennale','unimi'
'Scienze dei beni culturali','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-dei-beni-culturali','Laurea triennale','unimi'
'Scienze dei servizi giuridici','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-dei-servizi-giuridici','Laurea triennale','unimi'
'Scienze delle produzioni animali ','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-delle-produzioni-animali','Laurea triennale','unimi'
'Scienze e politiche ambientali','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-e-politiche-ambientali','Laurea triennale','unimi'
'Scienze e sicurezza chimico-tossicologiche dell'ambiente','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-e-sicurezza-chimico-tossicologiche-dellambiente','Laurea triennale','unimi'
'Scienze e tecnologie agrarie','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-e-tecnologie-agrarie','Laurea triennale','unimi'
'Scienze e tecnologie alimentari ','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-e-tecnologie-alimentari','Laurea triennale','unimi'
'Scienze e tecnologie della ristorazione','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-e-tecnologie-della-ristorazione','Laurea triennale','unimi'
'Scienze e tecnologie erboristiche ','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-e-tecnologie-erboristiche','Laurea triennale','unimi'
'Scienze e tecnologie per lo studio e la conservazione dei beni culturali e dei supporti della informazione','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-e-tecnologie-lo-studio-e-la-conservazione-dei-beni-culturali-e-dei-supporti-della','Laurea triennale','unimi'
'Scienze geologiche','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-geologiche','Laurea triennale','unimi'
'Scienze internazionali e istituzioni europee (SIE)','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-internazionali-e-istituzioni-europee-sie','Laurea triennale','unimi'
'Scienze motorie, sport e salute','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-motorie-sport-e-salute','Laurea triennale','unimi'
'Scienze naturali','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-naturali','Laurea triennale','unimi'
'Scienze politiche (SPO)','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-politiche-spo','Laurea triennale','unimi'
'Scienze sociali per la globalizzazione (GLO)','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-sociali-la-globalizzazione-glo','Laurea triennale','unimi'
'Scienze umane dell'ambiente, del territorio e del paesaggio','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-umane-dellambiente-del-territorio-e-del-paesaggio','Laurea triennale','unimi'
'Scienze umanistiche per la comunicazione','https://www.unimi.it/it/corsi/corsi-di-laurea/scienze-umanistiche-la-comunicazione','Laurea triennale','unimi'
'Sicurezza dei sistemi e delle reti informatiche','https://www.unimi.it/it/corsi/corsi-di-laurea/sicurezza-dei-sistemi-e-delle-reti-informatiche','Laurea triennale','unimi'
'Sicurezza dei sistemi e delle reti informatiche online','https://www.unimi.it/it/corsi/corsi-di-laurea/sicurezza-dei-sistemi-e-delle-reti-informatiche-online','Laurea triennale','unimi'
'Storia','https://www.unimi.it/it/corsi/corsi-di-laurea/storia','Laurea triennale','unimi'
'Tecnica della riabilitazione psichiatrica','https://www.unimi.it/it/corsi/corsi-di-laurea/tecnica-della-riabilitazione-psichiatrica','Laurea triennale','unimi'
'Tecniche audiometriche ','https://www.unimi.it/it/corsi/corsi-di-laurea/tecniche-audiometriche','Laurea triennale','unimi'
'Tecniche audioprotesiche','https://www.unimi.it/it/corsi/corsi-di-laurea/tecniche-audioprotesiche','Laurea triennale','unimi'
'Tecniche della prevenzione nell'ambiente e nei luoghi di lavoro','https://www.unimi.it/it/corsi/corsi-di-laurea/tecniche-della-prevenzione-nellambiente-e-nei-luoghi-di-lavoro','Laurea triennale','unimi'
'Tecniche di fisiopatologia cardiocircolatoria e perfusione cardiovascolare','https://www.unimi.it/it/corsi/corsi-di-laurea/tecniche-di-fisiopatologia-cardiocircolatoria-e-perfusione-cardiovascolare','Laurea triennale','unimi'
'Tecniche di laboratorio biomedico','https://www.unimi.it/it/corsi/corsi-di-laurea/tecniche-di-laboratorio-biomedico','Laurea triennale','unimi'
'Tecniche di neurofisiopatologia ','https://www.unimi.it/it/corsi/corsi-di-laurea/tecniche-di-neurofisiopatologia','Laurea triennale','unimi'
'Tecniche di radiologia medica, per immagini e radioterapia','https://www.unimi.it/it/corsi/corsi-di-laurea/tecniche-di-radiologia-medica-immagini-e-radioterapia','Laurea triennale','unimi'
'Tecniche ortopediche','https://www.unimi.it/it/corsi/corsi-di-laurea/tecniche-ortopediche','Laurea triennale','unimi'
'Terapia della neuro e psicomotricità dell'età evolutiva','https://www.unimi.it/it/corsi/corsi-di-laurea/terapia-della-neuro-e-psicomotricita-delleta-evolutiva','Laurea triennale','unimi'
'Terapia occupazionale','https://www.unimi.it/it/corsi/corsi-di-laurea/terapia-occupazionale','Laurea triennale','unimi'
'Valorizzazione e tutela dell'ambiente e del territorio montano','https://www.unimi.it/it/corsi/corsi-di-laurea/valorizzazione-e-tutela-dellambiente-e-del-territorio-montano','Laurea triennale','unimi'
'Viticoltura ed enologia','https://www.unimi.it/it/corsi/corsi-di-laurea/viticoltura-ed-enologia','Laurea triennale','unimi'
'Alimentazione e nutrizione umana','https://www.unimi.it/it/corsi/corsi-di-laurea/alimentazione-e-nutrizione-umana','Laurea magistrale','unimi'
